Character,Quote
peggy,Muchas gracias por las 2h de retraso en Vigo @Ryanair 👌
peggy,"@lluis_llach Renfe, Iberia..."
peggy,@Iberia Una cosa no tiene q ver con la otra sois responsables por NO Dimensionar Frecuencia y Capacidad de absorcio… https://t.co/QqpL4BlpM9
peggy,"@iberia sigo esperando que alguien conteste el teléfono, qué casualidad que diciendo la palabra abono todavía no lo… https://t.co/9dFL7xd2CJ"
peggy,¿Se puede reclamar por la huelga de personal de Iberia y Ryanair de estas Navidades? https://t.co/HGZj8vJDfF
peggy,"Línea Directa, Ryanair y la larga lista de empresas que estafan con los 902 https://t.co/XSVm0OXgbL"
peggy,"@Iberia hola, hemos perdido el localizador de nuestro vuelo, cómo podemos recuperarlo para acceder a la información del mismo?"
peggy,"@Luis_Cosias @Aeromexico Vaya Luis, ánimo y paciencia. También Iberia o Vueling habrá dejado a más de un hijo de Pa… https://t.co/5a2tf3xDHV"
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/fafKCV1N05"
peggy,@Ricky_ot2017 Ricky es que en Ryanair como no seas de los primeros te meten la maleta de mano en la bodega xq dicen… https://t.co/iEcavoo7fw
peggy,. @Iberia dejará de volar a #GuineaEcuatorial a partir del 23 de enero https://t.co/vjTXi31LEq https://t.co/Ml1nAJ3QoF
peggy,Sigo esperando respuesta de atención al cliente de @Iberia por el retraso de 48h mi avion en agosto. #Iberia… https://t.co/YdQBYtEP6r
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/25b0eHAfP3"
peggy,"Cada vez que dicen ""Ryanair"" por megafonía lo pronuncian distinto.

Rianer, Riyaner, Rayaner."
peggy,"El vuelo de Londres a Praga me costó 600 pesos con @Ryanair. Y me sorprendió para bien, puntual, limpio y buena asistencia. Congrats 👏🏼"
peggy,El procés viaja en Ryanair https://t.co/dyv5qo06gX
peggy,Un hombre desespera y escapa de un avión de Ryanair por la puerta de emergencia #Marketing https://t.co/Vv50DQijp9 #in
peggy,"Elektromaten Iberia por EspacioPropio + OficinaTransversal

Recibimos el encargo para la realización de las... https://t.co/wuwq9Hw7OC"
peggy,@srtabickle si pagas eso por un vuelo tan corto y encima en ryanair es para matarte. Un amigo mio se ha ido por ese… https://t.co/afCcl1ptOp
peggy,SEPROSS coincide con el Ministerio de Fomento en que resulta respetable la desclasificación de la investigación del… https://t.co/ScNkTp6Zr6
peggy,"@Nur_G_R @Mangas89 @Iberia @iberiaexpress Hola, me podríais pasar por DM el enlace de invitación del grupo de WhatsApp?"
peggy,Un paro de 4 horas de pilotos de la aerolínea Ryanair deja vuelos con retrasos y en plena época navideña https://t.co/Bnbqj5RsQ7
peggy,Buen viaje! https://t.co/PSTxiImkaG
peggy,Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas https://t.co/LeAFpwoKpp #NoTextAndDrive https://t.co/Z3ZzpsZ1yD
peggy,Fuerteventura 😍😍😍 dios mio  muchcachoooo https://t.co/8A1nFlEflL
peggy,@MAECgob 🇪🇸 en 🇨🇴 como puedo votar..? Ojalá @Iberia @AirEuropaCo con descuento$$ para ✈️ a votar 👍
peggy,#Panama Cuando tienes mucha ropa y viajas con Ryanair - Cuando tienes mucha ropa y viajas con Ryanair https://t.co/keaGs2gUse
peggy,@RafaelTimermans @MissPeggySuePig @luisete Q buenas salieron las manticas d Iberia... ;)
peggy,@AeroZAZ @zazAirport @Iberia Mas fotos! https://t.co/JDbpOoYDE2
peggy,"@Iberia Preguntando a los expertos @capi_april @fishvallarta @GuillermoBGR, eso de la puntualidad es “relativo” no?… https://t.co/azfWJLxs2q"
peggy,@iberia Quería saber si es verdad que el IB6673 del 07/12 hace escala en SDQ antes de llegar a CCS. Cuando compré e… https://t.co/a3BxlqjC6O
peggy,"Timado por @Ryanair Compro transfer de bus en su web; pago; no recibo email, ni tengo billete, voucher, código de r… https://t.co/IFHKynQjMB"
peggy,Edit: El infierno es volar eternamente en un Ryanair.
peggy,"Profesora: ¿En qué se diferencia Ryanair?

Clase: En precio.

Yo: En que se le cae los aviones."
peggy,Esperando 40 minutos (y seguimos) a que nos de una explicación @Iberia @iberiaexpress (en Lanzarote) de porque no n… https://t.co/kq5B0vd0qO
peggy,Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros https://t.co/dQsFsMJOVe via @elpais_economia
peggy,"@noticias_cuatro bueeee, mientras no hagan como alguna tripulación de Iberia q Madrid tiene que pedir disculpas por… https://t.co/k1WpGrK9ud"
peggy,Hoy se cumple el 90 aniversario del primer vuelo de Iberia. A las 9.30 del 14 de diciembre de 1927 un avión Rohrbac… https://t.co/2bY46aXoRD
peggy,"@Iberia feliz navidad,  quisiera ser parte de su equipo de trabajo como puedo hacer?"
peggy,"@Iberia Vuestras cuestiones operativas, como cliente no deberían de afectarme. Si me decís que un pokemon me va a l… https://t.co/fjZtAHcxl8"
peggy,"@Iberia se ve que son una empresa desarticulada, incomunicada entre sectores e ineficiente"
peggy,@juanmerodio @Iberia Y si te contara la respuesta que me dio su “agente de servicio al cliente”... Tendrías todo un… https://t.co/xsBqTM3fQJ
peggy,"Las personas podrán viajar desde 29,99 euros entre los meses de marzo y abril de 2018
https://t.co/fo9evHTPBr… https://t.co/nFXzwfDdLJ"
peggy,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas #vIDEO https://t.co/p40ePc78Sj"
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/YLUNQNSDDj"
peggy,"Lucía, la azafata de Iberia que inspiró a Serrat https://t.co/N59AiPC1Ds"
peggy,@Iberia acabo de sacar unos billetes desde el móvil y mira lo que sale. No me dicen mi cod. reserva y x email tampo… https://t.co/djzuVm4zC6
peggy,"@ferdepablos @juanjearanjuez @Iberia @ismaeljorda Respuesta Correcta Don Fernando😛😀
Pero siempre #HalaMadrid 😂😂😂"
peggy,El negocio de Ryanair con su elección de asientos aleatorio es ridículo. ¡Menuda banda!
peggy,"RT Iberia: Di #HolaArgentina 🌎 ¡Haz RT y síguenos y entrarás en el sorteo de un viaje de largo radio para 2! ✈️
Ba… https://t.co/zBcdQMdQdj"
peggy,@Iberia Ahí conteste su MD
peggy,Sentime @Iberia @Iberia te aconsejo que le soluciones el problema a @Flor_Colman porque la vas a pasar pésimo. Ok? https://t.co/rd9ZLpMOZA
peggy,@mjberrocal @Grupo_Envera_ @Iberia @LopezyValiente @sovimon74 @AngieGuillenMua @LupeMateo @m_ontoba @iosu_blanco… https://t.co/oNnJ8O7iYJ
peggy,"El primer vuelo de mi vida en @Iberia !
https://t.co/6y7rET7DQw https://t.co/8Vhr8pLyCM"
peggy,"@Iberia #HolaIberia Excelente experiencia y viaje.. sugerencia, apresurar el proceso de check in y maletas en el ae… https://t.co/H68Ro49gqf"
peggy,Solo el 3 de Enero: Un millón de asientos en Ryanair desde 9€: https://t.co/VLrAKlqjsB
peggy,"@DinhaViajera Recemos a san @iberia, que vende conexiones imposibles."
peggy,Hola @Iberia a pesar de que lo ponéis muy difícil esto de poder reclamar el derecho a ser compensado por 24 horas d… https://t.co/6i74gZam6z
peggy,@Cepsa_ES @Iberia Yo procuraré no repostar en cepsa con la puñetera tarjeta wizink bank. Tras estar pagando religio… https://t.co/ctDrbuRhLp
peggy,@AlbertoPajaroto @Airbus @aviaciondigital @AviacionD @aviacion_al_dia @avioneando @De_aviacion @VadeAviones… https://t.co/mStXqXQ3Jo
peggy,@Iberia @tuexperto @SamsungEspana @CelestinoGR Tongo
peggy,@DaniDeM86 @AeropuertosTFE @iberiaexpress @jet2tweets @BinterCanarias @Ryanair @aena @cervezadorada Tiene razón con… https://t.co/X4LcaUuyJ7
peggy,El Supremo confirma la indemnización a los padres de una azafata fallecida en el accidente de Spanair https://t.co/cStpswgPd4
peggy,👉  Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid https://t.co/dF2qPHkuPD   👈 https://t.co/Na6n0V9b52
peggy,@Iberia selecciona Técnicos de Mantenimiento Aeronáutico (TMA) https://t.co/kZt4tbxcbl #empleo
peggy,"Los sindicatos europeos instan a Ryanair a ""jugar limpio"" con los trabajadores https://t.co/D4G5VhaYHl https://t.co/kodPzk6wly"
peggy,Recordando: De Asturias a Cancún con Iberia. https://t.co/tcKe98jThF
peggy,"Ryanair, errores de bulto
Ahora todos a facturar... y pagar
https://t.co/6OJGBKCqHW https://t.co/IJttEkHjlQ"
peggy,@SSemmartin El de Iberia lleva 342 paz el 340 que tenemos en aerolíneas 280 ... ( sumaste 58 y restaste 20)
peggy,@Iberia El todo lo posible de @Iberia  para mí no es suficiente. Los días pasan y entiendo que cada vez más es más… https://t.co/9jkiiTYq3K
peggy,¿Por qué en los aviones de @iberia siempre hace tanto calor?
peggy,#ComplianceNews #AntiLAFT Marca de bajo costo de Iberia llegará a Colombia https://t.co/JL0cJkKvJB
peggy,"@BradCuper @YouTube Siii! El primer disco que escuché fue ""El espíritu del vino"" y si de ahí no pare. Me entienden.… https://t.co/PGnXkhFB54"
peggy,"@Iberia Casi 1 mes más tarde, 3 faxes y 5 llamas a un número de pago sigo sin recibir respuesta..."
peggy,"@javtos7 @SamsungEspana @Iberia Con un poco más, me da para otro billete."
peggy,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/78IkhIpnf0
peggy,De fiesta en fiesta:Los tripulantes de cabina de Ryanair denuncian por fraude a la low cost  vía @hosteltur https://t.co/yJYqBVvSLY
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/A1OkpSzOUg"
peggy,Iberia busca técnicos de mantenimiento para trabajar en Madrid y Barcelona. https://t.co/mcIl1JHQQO
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/eiPNIXaG7D"
peggy,Like a la contra de Samsung con esta acción en el avión de Iberia  https://t.co/RwPCsu8U9J
peggy,"Ryanair ofrece hoy 100.000 billetes desde 4,99 euros por el Black Friday https://t.co/TLuCEymGxc"
peggy,Faltan el vascongado y el gallego. https://t.co/tKbvog2Qzh
peggy,"Oferta de #empleo: Vice Iberia Group busca ""PR Manager"" a media jornada en Madrid https://t.co/mcwcSRPryP #Periodismo #Comunicación"
peggy,https://t.co/zaqZwKTIDF frente para Ryanair: el personal de tierra amenaza también con huelga a fin de año https://t.co/1FNNcLLd8K #Business
peggy,@BeatrizTalegon @ramoncotarelo Bon any y muchos éxitos. Esperamos que todo lo bueno que logremos con la… https://t.co/0o08vtVeS3
peggy,"@LaOtraHeidi @Iberia Lo que conseguirás serán varios mails predefinidos mandados por bots, y cuando lleves medio añ… https://t.co/2gu3N8n5aF"
peggy,@Iberia Central de Barajas no responde a ninguna comunicacion de Buenos Aires Ezeiza. Redes sociales de @Iberia no sabe nada: Ineficiencia
peggy,@Iberia no resolvió nada. Solo pregunto. Sigue el mensaje directo
peggy,Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros https://t.co/nLtGJP2JXo
peggy,Ada Colau está mirando en Ryanair billetes para Bélgica por si acaso. Cógelos antes de que se queden sin pilotos!!!!
peggy,@CristofferAdrin @Iberia Jamas te van a responder. Iberia es lo peor que le pudo haber pasado a la aviación comercial
peggy,"Los pilotos de Ryanair en Irlanda, Alemania, Italia y Portugal van a la huelga justo antes… https://t.co/W0lhrVI2Im https://t.co/Fw99IIHilj"
peggy,@Iberia venimos desplazados a Madrid desde Lleida. nos han reubicado en el avión que sale a las 22h desde Barajas
peggy,"@seur_responde. Muy tarde,Luz. A partir de ahora voy a hacer lo que hago con Ryanair; solo utilizar cuando no queda… https://t.co/UwLcBOizjc"
peggy,"@GrupoBPopular @PopularResponde @Iberia Increible el servicio online, No poder ver tus extractos y llamas al Popula… https://t.co/B6b0gNSR69"
peggy,@Rumbo estoy muy descontenta con su servicio y gestión de mi reserva de vuelo. Han contestado tarde a mi petición d… https://t.co/vuXxPMCJk4
peggy,Otro día más que espero impaciente la llamada de Iberia🙏🙏🙏
peggy,"@andrea6ch Jajaj igual que yo, llevo intentando comprarlo y no me va la pagina de ryanair despues 🙈, a ti si?"
peggy,"Por primera vez he llegado tarde al mostrador de facturación de un avión. Por suerte, en @Iberia han sido muy amables y me han dejado"
peggy,@franciscoperalg @vueling Muchísimas veces llego antes con @vueling @ryanair @easyjet... La hora señalada de ateriz… https://t.co/G8k7fAaJNV
peggy,Un pasajero sale por una de las alas de un avión de Ryanair tras aterrizar en Málaga https://t.co/mI37crW4Lr vía @ldtv
peggy,Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid. Ryanair ya ha inaugurado sus o… https://t.co/vqCfMgxIVg
peggy,@Mery_L @Iberia Una vez dentro! En casa ❤️. Buenos días!!
peggy,@Iberia sus respuestas son tan pautadas. Cambien su comunicación a una más personalizada y cercana al cliente. Dar… https://t.co/wjGnc91I9j
peggy,@n_larenas Iberia saltando en chulla pie. Mucho más atractivo el vuelo directo. Y ellos si pueden confiar en LATAM… https://t.co/qYSRdF3xjl
peggy,"@juanjearanjuez @Iberia @TurismoAsturias @TurismoMadrid Gracias Juanje, es sencillito pero de verdad que se agradec… https://t.co/Q90s0gRwxC"
peggy,"El tráfico de #Ryanair aumenta un 3% en diciembre hasta los 9,3... https://t.co/QwJHbEgNeo"
peggy,Un pasajero de Ryanair se cansó por la demora del avión y se escapó por la salida de emergencia… https://t.co/BmFyekQEFt
peggy,"@Iberia Vuelo IB6454 Quito-Madrid,31/10:sentada en 40A vi perfectamente como en 2 ocasiones a la azafata que organi… https://t.co/vAr7JN57Kp"
peggy,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/WFW5VTiFYk
peggy,Ryanair la máquina de evadir impuestos: las contrataciones https://t.co/1wbBA7uchq https://t.co/9RMG7PO0hf
peggy,buen viaje don JA https://t.co/pRJW1xxlZg
peggy,@UGT_Comunica #ugt hijos de la gran puta por la convoca de huelga de #Iberia por navidad. Como se puede ser tan ego… https://t.co/Tw0553lKX2
peggy,@lazypopa @Iberia Pa pegarse un puto tiro
peggy,@Iberia @SamsungEspana ¿Entonces teneis que promocionar regalando móviles de 1.000€?
peggy,@Mery_L @alfranco1973 @Iberia tripulante?
peggy,Buena idea pa cuando el avion demora en estacionarse jajaja o no @BrankoKarlezi 🤣🤣 https://t.co/5HWsqY13aj
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/Wp1BDyqafg"
peggy,Estoy cagada de miedo. El día 31 me voy a Frankfurt y el día 30 empieza la huelga en Ryanair. Me veo comiéndome las… https://t.co/8Lf8YQqDBk
peggy,"Que indignante, llevo casi 6 meses buscando mi maleta de un viaje en que @British_Airways no me embarca 1 equipaje… https://t.co/iLBXWRulX0"
peggy,@LosMorancos @alvaroojeda80 Totamente d acuerdo. Ryanair caca
peggy,"@flywithlevelES ¡Hola! Estoy mirando vuelos de ORY a PTP en agosto, pero salgo desde MAD. En la web de @Iberia apar… https://t.co/xeQJHl01Fk"
peggy,"@Iberia ""La butaca se reclina 15 centímetros. Existen algunos asientos que, por razones de seguridad, no son abatib… https://t.co/KC9EwN3TY1"
peggy,"Descubre Shanghai, Vuelo Directo con Iberia, 5 días desde 963€ Tax Includ https://t.co/3i2tQ6PHY4"
peggy,"@Ryanair Sevilla, plaza de espana"
peggy,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/tG22njBvMJ"
peggy,"Bueno esa circunstancia a mi me ha ocurrido con Iberia, en una ocasión https://t.co/8NalVGIT0w"
peggy,"@Iberia Pago 45 euros por una salida de emergencia, hago el checkin y en la puerta de embarque me cambian sin motiv… https://t.co/b8qzEwXrpN"
peggy,Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros https://t.co/wesWluVNCQ
peggy,Pilotos amenazan con nuevas protestas en contra de Ryanair en Europa  ▶️ https://t.co/9AKhBMDHbS   https://t.co/xHUjTegWtU
peggy,@C5_CDMX @AICM_mx @GobCDMX @RedFM921 @SergioyLupita @RedVialRC @ImagenTVMex @asilascosasw @CiroGomezL @MrElDiablo8… https://t.co/AEWuJpRwiY
peggy,"@Iberia Hola, hace casi ya 3 días que perdieron mi maleta. Ayer recibí un mensaje diciendo que la habían localizado… https://t.co/Tc4YFb2ffy"
peggy,@Iberia estoy buscando algún vuelo barato hacia Barcelona para mediados del año 2018
peggy,#note8abordo samsung regala un Note 8 a todos los pasajeros del vuelo Madrid- La coruña de Iberia. SON SEGUROS! https://t.co/A9AADZO0Zu
peggy,@Iberia Gracias.
peggy,"@Iberia Intenté ambas cosas sin éxito antes de contactar con ustedes, pero según su autorespuesta (""en breve nos po… https://t.co/75lWmeCfAO"
peggy,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/Hvcel2xS2C"
peggy,Vaya! @iberia asigna a mi hija de 5 años asiento lejos de su madre y es un error. Mi mujer se equivoca redactando el 2º apellido y son 30 €.
peggy,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/Ps6TUPRjnS"
peggy,@jllabellon @La_Vermutera @Conxinf @_Itinerem @mallorcaenfotos @Virginia_Rexach @balearestb @PerdidoenMca… https://t.co/jy4BjSUcdy
peggy,Solo estuve 25 minutos esperando en la oficina de ventas para cambiar un billete mientras la gente que iba a pagar… https://t.co/3l8UrGbhMq
peggy,@Iberia Buenas tardes! Viajo éste sábado XRY-VGO con bebé de 1 año y tarifa de equipaje 1 bulto en cabina por pax.… https://t.co/JZgYZVWzeF
